ELR Date,Test Result,ELR Count
8/22/20,Negative Tests,4925
8/22/20,Positive Tests,316
8/24/20,Positive Tests,329
8/24/20,Negative Tests,7345
8/31/20,Positive Tests,884
8/31/20,Negative Tests,9179
9/2/20,Positive Tests,356
9/2/20,Negative Tests,7260
9/9/20,Positive Tests,195
9/9/20,Negative Tests,5065
9/11/20,Negative Tests,8263
9/11/20,Positive Tests,294
9/16/20,Negative Tests,8438
9/16/20,Positive Tests,1488
9/18/20,Positive Tests,327
9/18/20,Negative Tests,7858
9/25/20,Positive Tests,407
9/25/20,Negative Tests,10313
9/27/20,Positive Tests,199
9/27/20,Negative Tests,5157
10/4/20,Positive Tests,263
10/4/20,Negative Tests,5470
10/6/20,Negative Tests,9944
10/6/20,Positive Tests,405
10/11/20,Negative Tests,6571
10/11/20,Positive Tests,275
10/13/20,Positive Tests,494
10/13/20,Negative Tests,11565
10/20/20,Positive Tests,402
10/20/20,Negative Tests,11777
10/22/20,Positive Tests,628
10/22/20,Negative Tests,18955
10/29/20,Positive Tests,978
10/29/20,Negative Tests,15463
10/31/20,Negative Tests,13702
10/31/20,Positive Tests,756
11/5/20,Negative Tests,18779
11/5/20,Positive Tests,1277
11/7/20,Positive Tests,1152
11/7/20,Negative Tests,14385
11/14/20,Positive Tests,993
11/14/20,Negative Tests,12972
11/16/20,Positive Tests,1194
11/16/20,Negative Tests,14612
11/23/20,Positive Tests,2247
11/23/20,Negative Tests,25476
11/25/20,Positive Tests,2269
11/25/20,Negative Tests,21949
11/30/20,Positive Tests,1831
11/30/20,Negative Tests,21404
12/2/20,Positive Tests,1815
12/2/20,Negative Tests,19682
12/9/20,Positive Tests,1706
12/9/20,Negative Tests,21800
12/11/20,Positive Tests,2023
12/11/20,Negative Tests,24028
12/18/20,Positive Tests,1663
12/18/20,Negative Tests,22380
12/20/20,Positive Tests,1549
12/20/20,Negative Tests,16262
12/25/20,Positive Tests,1128
12/25/20,Negative Tests,15507
12/27/20,Negative Tests,8725
4/6/20,Negative Tests,2122
4/6/20,Positive Tests,169
4/7/20,Negative Tests,1632
4/7/20,Positive Tests,536
4/8/20,Negative Tests,1748
4/8/20,Positive Tests,168
4/9/20,Positive Tests,141
4/9/20,Negative Tests,2044
4/23/20,Negative Tests,3373
4/23/20,Positive Tests,213
4/24/20,Negative Tests,2480
4/24/20,Positive Tests,169
4/25/20,Negative Tests,2146
4/25/20,Positive Tests,162
4/26/20,Positive Tests,154
4/26/20,Negative Tests,2833
5/9/20,Positive Tests,107
5/9/20,Negative Tests,3080
5/10/20,Negative Tests,3159
5/10/20,Positive Tests,268
5/11/20,Negative Tests,2963
5/11/20,Positive Tests,88
5/12/20,Negative Tests,4180
5/12/20,Positive Tests,141
5/13/20,Positive Tests,127
5/13/20,Negative Tests,3546
5/26/20,Positive Tests,120
5/26/20,Negative Tests,3527
5/27/20,Negative Tests,3892
5/27/20,Positive Tests,762
5/28/20,Negative Tests,4309
5/28/20,Positive Tests,92
5/29/20,Positive Tests,124
5/29/20,Negative Tests,5039
6/12/20,Negative Tests,6029
6/12/20,Positive Tests,273
6/13/20,Negative Tests,6055
6/13/20,Positive Tests,188
6/14/20,Negative Tests,4125
6/14/20,Positive Tests,262
6/15/20,Positive Tests,350
6/15/20,Negative Tests,5534
6/29/20,Negative Tests,3876
6/29/20,Positive Tests,163
6/30/20,Negative Tests,9230
6/30/20,Positive Tests,394
7/1/20,Negative Tests,11444
7/1/20,Positive Tests,641
7/2/20,Positive Tests,427
7/2/20,Negative Tests,7101
7/15/20,Positive Tests,511
7/15/20,Negative Tests,9893
7/16/20,Negative Tests,8239
7/16/20,Positive Tests,448
7/17/20,Negative Tests,10028
7/17/20,Positive Tests,605
7/18/20,Negative Tests,7158
7/18/20,Positive Tests,433
8/1/20,Negative Tests,6109
8/1/20,Positive Tests,341
8/2/20,Negative Tests,5431
8/2/20,Positive Tests,380
8/3/20,Negative Tests,5714
8/3/20,Positive Tests,335
8/4/20,Positive Tests,846
8/4/20,Negative Tests,8014
8/18/20,Negative Tests,8360
8/18/20,Positive Tests,407
8/19/20,Negative Tests,8027
8/19/20,Positive Tests,363
8/20/20,Negative Tests,9630
8/20/20,Positive Tests,716
8/21/20,Positive Tests,476
8/21/20,Negative Tests,8479
9/3/20,Positive Tests,456
9/3/20,Negative Tests,10465
9/4/20,Negative Tests,4944
9/4/20,Positive Tests,209
9/5/20,Negative Tests,7646
9/5/20,Positive Tests,411
9/6/20,Negative Tests,4673
9/6/20,Positive Tests,240
9/7/20,Positive Tests,156
9/7/20,Negative Tests,5192
9/20/20,Positive Tests,257
9/20/20,Negative Tests,4273
9/21/20,Negative Tests,9410
9/21/20,Positive Tests,441
9/22/20,Negative Tests,8094
9/22/20,Positive Tests,374
9/23/20,Positive Tests,364
9/23/20,Negative Tests,7310
10/7/20,Negative Tests,11649
10/7/20,Positive Tests,426
10/8/20,Negative Tests,13374
10/8/20,Positive Tests,561
10/9/20,Negative Tests,12564
10/9/20,Positive Tests,526
10/10/20,Positive Tests,384
10/10/20,Negative Tests,8357
10/24/20,Negative Tests,11689
10/24/20,Positive Tests,517
10/25/20,Negative Tests,8209
10/25/20,Positive Tests,381
10/26/20,Negative Tests,15097
10/26/20,Positive Tests,641
10/27/20,Positive Tests,628
10/27/20,Negative Tests,14422
11/9/20,Positive Tests,931
11/9/20,Negative Tests,13554
11/10/20,Negative Tests,17839
11/10/20,Positive Tests,1129
11/11/20,Negative Tests,15636
11/11/20,Positive Tests,1347
11/12/20,Negative Tests,19550
11/12/20,Positive Tests,1387
11/26/20,Negative Tests,18574
11/26/20,Positive Tests,1862
11/27/20,Negative Tests,17300
11/27/20,Positive Tests,1710
11/28/20,Negative Tests,11745
11/28/20,Positive Tests,1291
11/29/20,Positive Tests,1256
11/29/20,Negative Tests,11195
12/13/20,Negative Tests,16107
12/13/20,Positive Tests,1338
12/14/20,Negative Tests,37869
12/14/20,Positive Tests,1878
12/15/20,Negative Tests,23958
12/15/20,Positive Tests,1668
12/16/20,Positive Tests,1719
12/16/20,Negative Tests,22777
12/29/20,Positive Tests,1545
12/29/20,Negative Tests,20485
12/30/20,Negative Tests,20814
12/30/20,Positive Tests,2209
12/31/20,Negative Tests,33275
12/26/20,Negative Tests,9468
12/28/20,Positive Tests,1086
12/28/20,Negative Tests,16818
1/4/21,Positive Tests,1498
1/4/21,Negative Tests,19218
1/6/21,Negative Tests,20373
1/6/21,Positive Tests,1844
1/11/21,Negative Tests,18070
1/11/21,Positive Tests,1300
1/13/21,Positive Tests,1344
1/13/21,Negative Tests,20524
1/20/21,Positive Tests,1249
1/20/21,Negative Tests,20662
1/22/21,Positive Tests,969
1/22/21,Negative Tests,17576
1/29/21,Positive Tests,1026
1/29/21,Negative Tests,18930
1/31/21,Negative Tests,9598
1/31/21,Positive Tests,575
2/5/21,Negative Tests,22061
2/5/21,Positive Tests,843
2/7/21,Positive Tests,480
2/7/21,Negative Tests,10208
2/14/21,Positive Tests,201
2/14/21,Negative Tests,4905
2/16/21,Positive Tests,564
2/16/21,Negative Tests,13587
2/23/21,Positive Tests,708
2/23/21,Negative Tests,16874
2/25/21,Negative Tests,18308
2/25/21,Positive Tests,734
3/2/21,Negative Tests,26437
3/2/21,Positive Tests,601
3/4/21,Positive Tests,827
3/4/21,Negative Tests,52079
3/11/21,Positive Tests,665
3/11/21,Negative Tests,15296
3/13/21,Positive Tests,366
3/13/21,Negative Tests,10070
3/20/21,Positive Tests,308
3/20/21,Negative Tests,10218
3/22/21,Positive Tests,460
3/22/21,Negative Tests,11690
3/27/21,Positive Tests,341
3/27/21,Negative Tests,9293
3/29/21,Positive Tests,739
3/29/21,Negative Tests,12189
4/5/21,Positive Tests,534
4/5/21,Negative Tests,13302
4/7/21,Positive Tests,1151
4/7/21,Negative Tests,19535
4/14/21,Positive Tests,875
4/14/21,Negative Tests,20509
4/16/21,Positive Tests,986
4/16/21,Negative Tests,19451
4/21/21,Positive Tests,1368
4/21/21,Negative Tests,32478
4/23/21,Positive Tests,1172
4/23/21,Negative Tests,16137
4/30/21,Positive Tests,1298
4/30/21,Negative Tests,17171
5/2/21,Positive Tests,807
5/2/21,Negative Tests,9301
5/9/21,Positive Tests,557
5/9/21,Negative Tests,8437
12/31/20,Positive Tests,2621
1/1/21,Negative Tests,16427
1/1/21,Positive Tests,1725
1/2/21,Positive Tests,981
1/2/21,Negative Tests,8907
1/15/21,Positive Tests,1395
1/15/21,Negative Tests,23405
1/16/21,Negative Tests,13698
1/16/21,Positive Tests,873
1/17/21,Negative Tests,11943
1/17/21,Positive Tests,865
1/18/21,Positive Tests,1084
1/18/21,Negative Tests,19169
2/1/21,Negative Tests,17634
2/1/21,Positive Tests,918
2/2/21,Negative Tests,16412
2/2/21,Positive Tests,814
2/3/21,Negative Tests,20696
2/3/21,Positive Tests,1261
2/4/21,Positive Tests,899
2/4/21,Negative Tests,18414
2/18/21,Negative Tests,17488
2/18/21,Positive Tests,689
2/19/21,Negative Tests,11973
2/19/21,Positive Tests,488
2/20/21,Negative Tests,1063
2/20/21,Positive Tests,138
2/21/21,Positive Tests,759
2/21/21,Negative Tests,20604
3/6/21,Positive Tests,338
3/6/21,Negative Tests,9752
